PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked
1,0,3,0,22.0,1,0,1
2,1,1,1,38.0,1,0,2
3,1,3,1,26.0,0,0,1
4,1,1,1,35.0,1,0,1
5,0,3,0,35.0,0,0,1
7,0,1,0,54.0,0,0,1
8,0,3,0,2.0,3,1,1
9,1,3,1,27.0,0,2,1
10,1,2,1,14.0,1,0,2
11,1,3,1,4.0,1,1,1
12,1,1,1,58.0,0,0,1
13,0,3,0,20.0,0,0,1
14,0,3,0,39.0,1,5,1
15,0,3,1,14.0,0,0,1
16,1,2,1,55.0,0,0,1
17,0,3,0,2.0,4,1,3
19,0,3,1,31.0,1,0,1
21,0,2,0,35.0,0,0,1
22,1,2,0,34.0,0,0,1
23,1,3,1,15.0,0,0,3
24,1,1,0,28.0,0,0,1
25,0,3,1,8.0,3,1,1
26,1,3,1,38.0,1,5,1
28,0,1,0,19.0,3,2,1
31,0,1,0,40.0,0,0,2
34,0,2,0,66.0,0,0,1
35,0,1,0,28.0,1,0,2
36,0,1,0,42.0,1,0,1
38,0,3,0,21.0,0,0,1
39,0,3,1,18.0,2,0,1
40,1,3,1,14.0,1,0,2
41,0,3,1,40.0,1,0,1
42,0,2,1,27.0,1,0,1
44,1,2,1,3.0,1,2,2
45,1,3,1,19.0,0,0,3
50,0,3,1,18.0,1,0,1
51,0,3,0,7.0,4,1,1
52,0,3,0,21.0,0,0,1
53,1,1,1,49.0,1,0,2
54,1,2,1,29.0,1,0,1
55,0,1,0,65.0,0,1,2
57,1,2,1,21.0,0,0,1
58,0,3,0,28.5,0,0,2
59,1,2,1,5.0,1,2,1
60,0,3,0,11.0,5,2,1
61,0,3,0,22.0,0,0,2
63,0,1,0,45.0,1,0,1
64,0,3,0,4.0,3,2,1
67,1,2,1,29.0,0,0,1
68,0,3,0,19.0,0,0,1
69,1,3,1,17.0,4,2,1
70,0,3,0,26.0,2,0,1
71,0,2,0,32.0,0,0,1
72,0,3,1,16.0,5,2,1
73,0,2,0,21.0,0,0,1
74,0,3,0,26.0,1,0,2
75,1,3,0,32.0,0,0,1
76,0,3,0,25.0,0,0,1
79,1,2,0,0.83,0,2,1
80,1,3,1,30.0,0,0,1
81,0,3,0,22.0,0,0,1
82,1,3,0,29.0,0,0,1
84,0,1,0,28.0,0,0,1
85,1,2,1,17.0,0,0,1
86,1,3,1,33.0,3,0,1
87,0,3,0,16.0,1,3,1
89,1,1,1,23.0,3,2,1
90,0,3,0,24.0,0,0,1
91,0,3,0,29.0,0,0,1
92,0,3,0,20.0,0,0,1
93,0,1,0,46.0,1,0,1
94,0,3,0,26.0,1,2,1
95,0,3,0,59.0,0,0,1
97,0,1,0,71.0,0,0,2
98,1,1,0,23.0,0,1,2
99,1,2,1,34.0,0,1,1
100,0,2,0,34.0,1,0,1
101,0,3,1,28.0,0,0,1
103,0,1,0,21.0,0,1,1
104,0,3,0,33.0,0,0,1
105,0,3,0,37.0,2,0,1
106,0,3,0,28.0,0,0,1
107,1,3,1,21.0,0,0,1
109,0,3,0,38.0,0,0,1
111,0,1,0,47.0,0,0,1
112,0,3,1,14.5,1,0,2
113,0,3,0,22.0,0,0,1
114,0,3,1,20.0,1,0,1
115,0,3,1,17.0,0,0,2
116,0,3,0,21.0,0,0,1
117,0,3,0,70.5,0,0,3
118,0,2,0,29.0,1,0,1
119,0,1,0,24.0,0,1,2
120,0,3,1,2.0,4,2,1
121,0,2,0,21.0,2,0,1
123,0,2,0,32.5,1,0,2
124,1,2,1,32.5,0,0,1
125,0,1,0,54.0,0,1,1
126,1,3,0,12.0,1,0,2
128,1,3,0,24.0,0,0,1
130,0,3,0,45.0,0,0,1
131,0,3,0,33.0,0,0,2
132,0,3,0,20.0,0,0,1
133,0,3,1,47.0,1,0,1
134,1,2,1,29.0,1,0,1
135,0,2,0,25.0,0,0,1
136,0,2,0,23.0,0,0,2
137,1,1,1,19.0,0,2,1
138,0,1,0,37.0,1,0,1
139,0,3,0,16.0,0,0,1
140,0,1,0,24.0,0,0,2
142,1,3,1,22.0,0,0,1
143,1,3,1,24.0,1,0,1
144,0,3,0,19.0,0,0,3
145,0,2,0,18.0,0,0,1
146,0,2,0,19.0,1,1,1
147,1,3,0,27.0,0,0,1
148,0,3,1,9.0,2,2,1
149,0,2,0,36.5,0,2,1
150,0,2,0,42.0,0,0,1
151,0,2,0,51.0,0,0,1
152,1,1,1,22.0,1,0,1
153,0,3,0,55.5,0,0,1
154,0,3,0,40.5,0,2,1
156,0,1,0,51.0,0,1,2
157,1,3,1,16.0,0,0,3
158,0,3,0,30.0,0,0,1
161,0,3,0,44.0,0,1,1
162,1,2,1,40.0,0,0,1
163,0,3,0,26.0,0,0,1
164,0,3,0,17.0,0,0,1
165,0,3,0,1.0,4,1,1
166,1,3,0,9.0,0,2,1
168,0,3,1,45.0,1,4,1
170,0,3,0,28.0,0,0,1
171,0,1,0,61.0,0,0,1
172,0,3,0,4.0,4,1,3
173,1,3,1,1.0,1,1,1
174,0,3,0,21.0,0,0,1
175,0,1,0,56.0,0,0,2
176,0,3,0,18.0,1,1,1
178,0,1,1,50.0,0,0,2
179,0,2,0,30.0,0,0,1
180,0,3,0,36.0,0,0,1
183,0,3,0,9.0,4,2,1
184,1,2,0,1.0,2,1,1
185,1,3,1,4.0,0,2,1
188,1,1,0,45.0,0,0,1
189,0,3,0,40.0,1,1,3
190,0,3,0,36.0,0,0,1
191,1,2,1,32.0,0,0,1
192,0,2,0,19.0,0,0,1
193,1,3,1,19.0,1,0,1
194,1,2,0,3.0,1,1,1
195,1,1,1,44.0,0,0,2
196,1,1,1,58.0,0,0,2
198,0,3,0,42.0,0,1,1
200,0,2,1,24.0,0,0,1
201,0,3,0,28.0,0,0,1
203,0,3,0,34.0,0,0,1
204,0,3,0,45.5,0,0,2
205,1,3,0,18.0,0,0,1
206,0,3,1,2.0,0,1,1
207,0,3,0,32.0,1,0,1
208,1,3,0,26.0,0,0,2
209,1,3,1,16.0,0,0,3
210,1,1,0,40.0,0,0,2
211,0,3,0,24.0,0,0,1
212,1,2,1,35.0,0,0,1
213,0,3,0,22.0,0,0,1
214,0,2,0,30.0,0,0,1
216,1,1,1,31.0,1,0,2
217,1,3,1,27.0,0,0,1
218,0,2,0,42.0,1,0,1
219,1,1,1,32.0,0,0,2
220,0,2,0,30.0,0,0,1
221,1,3,0,16.0,0,0,1
222,0,2,0,27.0,0,0,1
223,0,3,0,51.0,0,0,1
225,1,1,0,38.0,1,0,1
226,0,3,0,22.0,0,0,1
227,1,2,0,19.0,0,0,1
228,0,3,0,20.5,0,0,1
229,0,2,0,18.0,0,0,1
231,1,1,1,35.0,1,0,1
232,0,3,0,29.0,0,0,1
233,0,2,0,59.0,0,0,1
234,1,3,1,5.0,4,2,1
235,0,2,0,24.0,0,0,1
237,0,2,0,44.0,1,0,1
238,1,2,1,8.0,0,2,1
239,0,2,0,19.0,0,0,1
240,0,2,0,33.0,0,0,1
243,0,2,0,29.0,0,0,1
244,0,3,0,22.0,0,0,1
245,0,3,0,30.0,0,0,2
246,0,1,0,44.0,2,0,3
247,0,3,1,25.0,0,0,1
248,1,2,1,24.0,0,2,1
249,1,1,0,37.0,1,1,1
250,0,2,0,54.0,1,0,1
252,0,3,1,29.0,1,1,1
253,0,1,0,62.0,0,0,1
254,0,3,0,30.0,1,0,1
255,0,3,1,41.0,0,2,1
256,1,3,1,29.0,0,2,2
258,1,1,1,30.0,0,0,1
259,1,1,1,35.0,0,0,2
260,1,2,1,50.0,0,1,1
262,1,3,0,3.0,4,2,1
263,0,1,0,52.0,1,1,1
264,0,1,0,40.0,0,0,1
266,0,2,0,36.0,0,0,1
267,0,3,0,16.0,4,1,1
268,1,3,0,25.0,1,0,1
269,1,1,1,58.0,0,1,1
270,1,1,1,35.0,0,0,1
272,1,3,0,25.0,0,0,1
273,1,2,1,41.0,0,1,1
274,0,1,0,37.0,0,1,2
276,1,1,1,63.0,1,0,1
277,0,3,1,45.0,0,0,1
279,0,3,0,7.0,4,1,3
280,1,3,1,35.0,1,1,1
281,0,3,0,65.0,0,0,3
282,0,3,0,28.0,0,0,1
283,0,3,0,16.0,0,0,1
284,1,3,0,19.0,0,0,1
286,0,3,0,33.0,0,0,2
287,1,3,0,30.0,0,0,1
288,0,3,0,22.0,0,0,1
289,1,2,0,42.0,0,0,1
290,1,3,1,22.0,0,0,3
291,1,1,1,26.0,0,0,1
292,1,1,1,19.0,1,0,2
293,0,2,0,36.0,0,0,2
294,0,3,1,24.0,0,0,1
295,0,3,0,24.0,0,0,1
297,0,3,0,23.5,0,0,2
298,0,1,1,2.0,1,2,1
300,1,1,1,50.0,0,1,2
303,0,3,0,19.0,0,0,1
306,1,1,0,0.92,1,2,1
308,1,1,1,17.0,1,0,2
309,0,2,0,30.0,1,0,2
310,1,1,1,30.0,0,0,2
311,1,1,1,24.0,0,0,2
312,1,1,1,18.0,2,2,2
313,0,2,1,26.0,1,1,1
314,0,3,0,28.0,0,0,1
315,0,2,0,43.0,1,1,1
316,1,3,1,26.0,0,0,1
317,1,2,1,24.0,1,0,1
318,0,2,0,54.0,0,0,1
319,1,1,1,31.0,0,2,1
320,1,1,1,40.0,1,1,2
321,0,3,0,22.0,0,0,1
322,0,3,0,27.0,0,0,1
323,1,2,1,30.0,0,0,3
324,1,2,1,22.0,1,1,1
326,1,1,1,36.0,0,0,2
327,0,3,0,61.0,0,0,1
328,1,2,1,36.0,0,0,1
329,1,3,1,31.0,1,1,1
330,1,1,1,16.0,0,1,2
332,0,1,0,45.5,0,0,1
333,0,1,0,38.0,0,1,1
334,0,3,0,16.0,2,0,1
337,0,1,0,29.0,1,0,1
338,1,1,1,41.0,0,0,2
339,1,3,0,45.0,0,0,1
340,0,1,0,45.0,0,0,1
341,1,2,0,2.0,1,1,1
342,1,1,1,24.0,3,2,1
343,0,2,0,28.0,0,0,1
344,0,2,0,25.0,0,0,1
345,0,2,0,36.0,0,0,1
346,1,2,1,24.0,0,0,1
347,1,2,1,40.0,0,0,1
349,1,3,0,3.0,1,1,1
350,0,3,0,42.0,0,0,1
351,0,3,0,23.0,0,0,1
353,0,3,0,15.0,1,1,2
354,0,3,0,25.0,1,0,1
356,0,3,0,28.0,0,0,1
357,1,1,1,22.0,0,1,1
358,0,2,1,38.0,0,0,1
361,0,3,0,40.0,1,4,1
362,0,2,0,29.0,1,0,2
363,0,3,1,45.0,0,1,2
364,0,3,0,35.0,0,0,1
366,0,3,0,30.0,0,0,1
367,1,1,1,60.0,1,0,2
370,1,1,1,24.0,0,0,2
371,1,1,0,25.0,1,0,2
372,0,3,0,18.0,1,0,1
373,0,3,0,19.0,0,0,1
374,0,1,0,22.0,0,0,2
375,0,3,1,3.0,3,1,1
377,1,3,1,22.0,0,0,1
378,0,1,0,27.0,0,2,2
379,0,3,0,20.0,0,0,2
380,0,3,0,19.0,0,0,1
381,1,1,1,42.0,0,0,2
382,1,3,1,1.0,0,2,2
383,0,3,0,32.0,0,0,1
384,1,1,1,35.0,1,0,1
386,0,2,0,18.0,0,0,1
387,0,3,0,1.0,5,2,1
388,1,2,1,36.0,0,0,1
390,1,2,1,17.0,0,0,2
391,1,1,0,36.0,1,2,1
392,1,3,0,21.0,0,0,1
393,0,3,0,28.0,2,0,1
394,1,1,1,23.0,1,0,2
